jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,8 rows in the 2026-09-13 Title 42 ch. 94 scope; subsection bodies opened
us-ak,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-al,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-ar,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-az,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-ca,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-co,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-ct,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-dc,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-de,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-fl,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-ga,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-hi,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-ia,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-id,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
us-il,LIHEAP-F-USC-8621,federal,statute,PRESENT,2026-09-13-liheap-statute-chapter-94-title-42,us/statute/42/8621,no,inherited from federal
