jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,C-ST-1397aa,federal_only,federal statute (uscode.house.gov),PRESENT,2026-07-19-rulespec-title-42-consolidated,us/statute/42/1397aa,no,federal statute text held (42 U.S.C. 1397aa)
us-ak,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-al,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ar,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-az,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ca,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-co,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ct,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-dc,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-de,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-fl,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ga,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-hi,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ia,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-id,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-il,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-in,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ks,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ky,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-la,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
us-ma,C-ST-1397aa,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1397aa,no,federal-only element (42 U.S.C. 1397aa); carried at the us row and inherited
